               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.038934,           0.0050054,           0.0023775,             0.12112,             0.86436,             0.85968,             0.84927,             0.50415,            0.027578,           0.0035282,           0.0055327,             0.11691,             0.00997,             0.00997,             0.00997
                  41,            0.039531,           0.0048141,           0.0027119,             0.12009,             0.86875,             0.86744,              0.8311,             0.57446,            0.027035,           0.0034917,           0.0022602,             0.11695,           0.0099685,           0.0099685,           0.0099685
                  42,            0.038557,           0.0049986,           0.0025928,             0.11922,             0.90159,             0.91598,             0.88277,             0.57652,            0.025325,           0.0034817,           0.0011636,              0.1178,           0.0099669,           0.0099669,           0.0099669
                  43,            0.038885,           0.0048962,           0.0025005,             0.11927,             0.93653,             0.94672,             0.97103,             0.66806,            0.027256,           0.0035415,           0.0026167,             0.11696,           0.0099652,           0.0099652,           0.0099652
                  44,            0.037997,           0.0047647,           0.0023361,             0.11871,             0.94744,             0.96639,             0.95988,             0.66792,             0.02542,           0.0034647,           0.0025714,             0.11538,           0.0099636,           0.0099636,           0.0099636
                  45,            0.037384,           0.0047277,           0.0028169,             0.11863,             0.99672,             0.99833,             0.99427,             0.68424,            0.025378,           0.0033739,          0.00070573,             0.11498,           0.0099618,           0.0099618,           0.0099618
                  46,            0.037232,            0.004832,           0.0022784,             0.12007,             0.94094,             0.96449,             0.95473,             0.59458,            0.026375,           0.0035374,          0.00096487,             0.11461,           0.0099601,           0.0099601,           0.0099601
                  47,            0.037823,           0.0048007,           0.0022816,             0.11882,             0.99544,             0.99913,               0.995,             0.73636,            0.024895,           0.0034175,          0.00067001,             0.11346,           0.0099583,           0.0099583,           0.0099583
                  48,            0.037024,           0.0048336,           0.0026195,             0.11889,             0.97722,             0.97592,             0.97488,             0.66925,            0.025317,           0.0034409,           0.0012454,             0.11308,           0.0099565,           0.0099565,           0.0099565
                  49,            0.037198,           0.0048649,           0.0025129,             0.11589,             0.96243,             0.96229,             0.97904,             0.64526,            0.026225,           0.0034798,           0.0037987,             0.11184,           0.0099546,           0.0099546,           0.0099546
                  50,             0.03614,           0.0048425,           0.0022875,             0.11749,             0.93621,             0.92922,             0.90163,             0.63484,             0.02344,           0.0034696,          0.00089368,             0.11186,           0.0099527,           0.0099527,           0.0099527
                  51,            0.037891,             0.00481,            0.002462,             0.11481,             0.98252,             0.99014,             0.98389,             0.70778,            0.023138,           0.0033721,           0.0008638,             0.10994,           0.0099508,           0.0099508,           0.0099508
